gen_name1,month,Year,Mon,Season,gen_type,gas_type,fuelP,JKM,JKM1,JKM2,JKM3,JKM4,JCC,JCC1,JCC2,JCC3,JCC4,HH,HH1,HH2,HH3,HH4,comtype,Genconame,Opstart,Capacity,Longterm,Shortterm,time
GS 2CC,201501,2015,1,Winter,Combined Cycle Power Plant,Kogas,82.871,9.911,10.062,12.49,14.423,12.826,15.08,15.77,16.4,15.94,15.61,2.95,3.59,4.23,3.81,3.92,Private Firm,GS,200803,533,3089936,777348,2015-01-01
GS 2CC,201502,2015,2,Winter,Combined Cycle Power Plant,Kogas,74.254,7.436,9.911,10.062,12.49,14.423,13.43,15.08,15.77,16.4,15.94,2.76,2.95,3.59,4.23,3.81,Private Firm,GS,200803,533,2386391,553477,2015-02-01
GS 2CC,201503,2015,3,Spring,Combined Cycle Power Plant,Kogas,69.631,7.279,7.436,9.911,10.062,12.49,12.32,13.43,15.08,15.77,16.4,2.74,2.76,2.95,3.59,4.23,Private Firm,GS,200803,533,2530568,336011,2015-03-01
GS 2CC,201504,2015,4,Spring,Combined Cycle Power Plant,Kogas,61.357,7.38,7.279,7.436,9.911,10.062,10.25,12.32,13.43,15.08,15.77,2.58,2.74,2.76,2.95,3.59,Private Firm,GS,200803,533,2074719,405156,2015-04-01
GS 2CC,201505,2015,5,Spring,Combined Cycle Power Plant,Kogas,57.566,7.12,7.38,7.279,7.436,9.911,8.88,10.25,12.32,13.43,15.08,2.87,2.58,2.74,2.76,2.95,Private Firm,GS,200803,533,2097259.6,322429,2015-05-01
GS 2CC,201506,2015,6,Summer,Combined Cycle Power Plant,Kogas,51.065,7.615,7.12,7.38,7.279,7.436,8.69,8.88,10.25,12.32,13.43,2.76,2.87,2.58,2.74,2.76,Private Firm,GS,200803,533,1450670,277697,2015-06-01
GS 2CC,201507,2015,7,Summer,Combined Cycle Power Plant,Kogas,50.942,7.395,7.615,7.12,7.38,7.279,8.95,8.69,8.88,10.25,12.32,2.81,2.76,2.87,2.58,2.74,Private Firm,GS,200803,533,1702673,256647,2015-07-01
GS 2CC,201508,2015,8,Summer,Combined Cycle Power Plant,Kogas,53.197,8.007,7.395,7.615,7.12,7.38,9.15,8.95,8.69,8.88,10.25,2.74,2.81,2.76,2.87,2.58,Private Firm,GS,200803,533,1689581,321977,2015-08-01
GS 2CC,201509,2015,9,Fall,Combined Cycle Power Plant,Kogas,55.937,7.538,8.007,7.395,7.615,7.12,9.62,9.15,8.95,8.69,8.88,2.67,2.74,2.81,2.76,2.87,Private Firm,GS,200803,533,2080844,324844,2015-09-01
GS 2CC,201510,2015,10,Fall,Combined Cycle Power Plant,Kogas,57.494,6.7,7.538,8.007,7.395,7.615,9.5,9.62,9.15,8.95,8.69,2.41,2.67,2.74,2.81,2.76,Private Firm,GS,200803,533,2237392,511336.67,2015-10-01
GS 2CC,201511,2015,11,Winter,Combined Cycle Power Plant,Kogas,57.244,7.28,6.7,7.538,8.007,7.395,9.04,9.5,9.62,9.15,8.95,2.28,2.41,2.67,2.74,2.81,Private Firm,GS,200803,533,2261968,368874,2015-11-01
GS 2CC,201512,2015,12,Winter,Combined Cycle Power Plant,Kogas,57.767,7.397,7.28,6.7,7.538,8.007,8.47,9.04,9.5,9.62,9.15,2.04,2.28,2.41,2.67,2.74,Private Firm,GS,200803,533,2418968,745691,2015-12-01
GS 2CC,201601,2016,1,Winter,Combined Cycle Power Plant,Kogas,54.258,6.717,7.397,7.28,6.7,7.538,7.81,8.47,9.04,9.5,9.62,2.22,2.04,2.28,2.41,2.67,Private Firm,GS,200803,533,2248044,909412,2016-01-01
GS 2CC,201602,2016,2,Winter,Combined Cycle Power Plant,Kogas,53.729,5.339,6.717,7.397,7.28,6.7,7.87,7.81,8.47,9.04,9.5,1.93,2.22,2.04,2.28,2.41,Private Firm,GS,200803,533,2337843,583246,2016-02-01
GS 2CC,201603,2016,3,Spring,Combined Cycle Power Plant,Kogas,52.427,4.46,5.339,6.717,7.397,7.28,7.26,7.87,7.81,8.47,9.04,1.8,1.93,2.22,2.04,2.28,Private Firm,GS,200803,533,2729517.6,609281.95,2016-03-01
GS 2CC,201604,2016,4,Spring,Combined Cycle Power Plant,Kogas,45.688,4.241,4.46,5.339,6.717,7.397,6.32,7.26,7.87,7.81,8.47,2.01,1.8,1.93,2.22,2.04,Private Firm,GS,200803,533,1784383.6,200190,2016-04-01
GS 2CC,201605,2016,5,Spring,Combined Cycle Power Plant,Kogas,41.824,4.461,4.241,4.46,5.339,6.717,5.89,6.32,7.26,7.87,7.81,2.08,2.01,1.8,1.93,2.22,Private Firm,GS,200803,533,1922230.7,200534.09,2016-05-01
GS 2CC,201606,2016,6,Summer,Combined Cycle Power Plant,Kogas,38.67,4.849,4.461,4.241,4.46,5.339,5.85,5.89,6.32,7.26,7.87,2.6,2.08,2.01,1.8,1.93,Private Firm,GS,200803,533,2096520.7,274142.04,2016-06-01
GS 2CC,201607,2016,7,Summer,Combined Cycle Power Plant,Kogas,39.877,5.273,4.849,4.461,4.241,4.46,6.41,5.85,5.89,6.32,7.26,2.77,2.6,2.08,2.01,1.8,Private Firm,GS,200803,533,1688355,65418.48,2016-07-01
GS 2CC,201608,2016,8,Summer,Combined Cycle Power Plant,Kogas,41.121,5.805,5.273,4.849,4.461,4.241,6.57,6.41,5.85,5.89,6.32,2.72,2.77,2.6,2.08,2.01,Private Firm,GS,200803,533,1617449.6,209397.95,2016-08-01
GS 2CC,201609,2016,9,Fall,Combined Cycle Power Plant,Kogas,42.877,5.47,5.805,5.273,4.849,4.461,7.09,6.57,6.41,5.85,5.89,2.9,2.72,2.77,2.6,2.08,Private Firm,GS,200803,533,1871999.3,277075.29,2016-09-01
